"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear"
"13518905","2017-03-31 23:59:07","2017-04-01 00:13:24","5292","857","66","Clinton St & Lake St","171","May St & Cullerton St","Subscriber","Male","1989"
"13518904","2017-03-31 23:56:25","2017-04-01 00:00:21","4408","236","199","Wabash Ave & Grand Ave","26","McClurg Ct & Illinois St","Subscriber","Male","1990"
"13518903","2017-03-31 23:55:33","2017-04-01 00:01:21","696","348","520","Greenview Ave & Jarvis Ave","432","Clark St & Lunt Ave","Subscriber","Female","1979"
"13518902","2017-03-31 23:54:46","2017-03-31 23:59:34","4915","288","110","Dearborn St & Erie St","142","McClurg Ct & Erie St","Subscriber","Male","1985"
"13518901","2017-03-31 23:53:33","2017-04-01 00:00:28","4247","415","327","Sheffield Ave & Webster Ave","331","Halsted St & Blackhawk St (*)","Subscriber","Female","1989"
"13518900","2017-03-31 23:51:17","2017-03-31 23:55:19","3536","242","143","Sedgwick St & Webster Ave","289","Wells St & Concord Ln","Subscriber","Male","1988"
"13518899","2017-03-31 23:51:16","2017-03-31 23:57:17","5111","361","81","Daley Center Plaza","41","Federal St & Polk St","Subscriber","Male","1987"
"13518898","2017-03-31 23:50:26","2017-03-31 23:56:20","1579","354","56","Desplaines St & Kinzie St","77","Clinton St & Madison St","Subscriber","Male","1981"
"13518897","2017-03-31 23:50:25","2017-03-31 23:55:24","3914","299","210","Ashland Ave & Division St","69","Damen Ave & Pierce Ave","Subscriber","Male","1992"
"13518896","2017-03-31 23:49:58","2017-04-01 00:09:31","5455","1173","117","Wilton Ave & Belmont Ave","29","Noble St & Milwaukee Ave","Subscriber","Male","1989"
"13518895","2017-03-31 23:49:51","2017-04-01 00:09:31","4282","1180","117","Wilton Ave & Belmont Ave","29","Noble St & Milwaukee Ave","Subscriber","Male","1989"
"13518894","2017-03-31 23:49:34","2017-03-31 23:57:58","4768","504","227","Southport Ave & Waveland Ave","303","Broadway & Cornelia Ave","Subscriber","Male","1988"
"13518893","2017-03-31 23:49:12","2017-03-31 23:53:07","2505","235","199","Wabash Ave & Grand Ave","26","McClurg Ct & Illinois St","Subscriber","Female","1990"
"13518892","2017-03-31 23:48:35","2017-03-31 23:52:51","142","256","59","Wabash Ave & Roosevelt Rd","2","Buckingham Fountain","Subscriber","Male","1984"
"13518891","2017-03-31 23:45:51","2017-03-31 23:55:41","1407","590","67","Sheffield Ave & Fullerton Ave","250","Ashland Ave & Wellington Ave","Subscriber","Male","1982"
"13518890","2017-03-31 23:45:39","2017-03-31 23:48:09","3914","150","333","Ashland Ave & Blackhawk St","210","Ashland Ave & Division St","Subscriber","Male","1992"
"13518889","2017-03-31 23:45:21","2017-03-31 23:52:48","4631","447","77","Clinton St & Madison St","175","Wells St & Polk St","Subscriber","Female","1979"
"13518888","2017-03-31 23:45:00","2017-03-31 23:50:29","2790","329","90","Millennium Park","2","Buckingham Fountain","Subscriber","Male","1980"
"13518887","2017-03-31 23:44:16","2017-03-31 23:48:53","5739","277","38","Clark St & Lake St","24","Fairbanks Ct & Grand Ave","Subscriber","Male","1990"
"13518886","2017-03-31 23:43:24","2017-03-31 23:58:07","790","883","91","Clinton St & Washington Blvd","182","Wells St & Elm St","Subscriber","Male","1970"
"13518885","2017-03-31 23:40:05","2017-03-31 23:58:41","3385","1116","69","Damen Ave & Pierce Ave","310","Damen Ave & Charleston St","Subscriber","Male","1986"
"13518884","2017-03-31 23:35:20","2017-03-31 23:37:28","4701","128","66","Clinton St & Lake St","164","Franklin St & Lake St","Subscriber","Male","1984"
"13518883","2017-03-31 23:34:57","2017-04-01 00:02:10","2593","1633","26","McClurg Ct & Illinois St","202","Halsted St & 18th St","Subscriber","Male","1984"
